AppID,positive,negative
1172470,486,525
730,5158,4823
1091500,4472,5470
381210,5557,4409
570,3251,2837
227300,4589,5345
377160,5096,4847
271590,4980,4952
261550,4033,4310
48700,4709,5236
218620,5193,4750
2186200,0,0
1203220,4761,5204
578080,5129,4828
1174180,4458,5491
252490,5183,4781
1643320,4690,5278
72850,5161,4791
242760,38,61
1685430,0,0
292030,4375,5577
236390,369,406
